"";"ID";"Inserir.localização.geográfica.do.serviço (Atualizar com base no Google Earth)";"groups1a._geo_kml_latitude";"groups1a._geo_kml_longitude";"groups1a._geo_kml_altitude";"groups1a._geo_kml_precision"
"55";"q55_UAPS.URBANA...Ipiranga";NA;NA;NA;NA;NA
"56";"q56_UAPS.URBANA...Santa.Efigênia";"-21.799838798846064 -43.35758344534773 806.6021848673976 12.0";-21,7998387988461;-43,3575834453477;806,602184867398;12
"57";"q57_UAPS.URBANA...Santa.Luzia";"-21.785063060093307 -43.345898693594684 725.1378867628739 8.0";-21,7850630600933;-43,3458986935947;725,137886762874;8
"58";"q58_UAPS.URBANA...Teixeiras";NA;NA;NA;NA;NA
"59";"q59_UAPS.URBANA...Vale.Verde";NA;NA;NA;NA;NA
"60";"q60_UAPS.URBANA...Bandeirantes";"-21.720624110283755 -43.35400422072896 730.8870989609528 32.0";-21,7206241102838;-43,354004220729;730,887098960953;32
"61";"q61_UAPS.URBANA...Grama";"-21.690184910972086 -43.348303502493124 775.9355053819005 8.0";-21,6901849109721;-43,3483035024931;775,9355053819;8
"62";"q62_UAPS.URBANA...Granjas.Betânea";NA;NA;NA;NA;NA
"63";"q63_UAPS.URBANA...Nossa.Senhora.das.Graças";"-21.732995268363407 -43.36091367744872 741.3544297935331 12.0";-21,7329952683634;-43,3609136774487;741,354429793533;12
"64";"q64_UAPS.URBANA...Parque.Guarani";"-21.712917603901214 -43.35377934854552 983.265410448006 48.0";-21,7129176039012;-43,3537793485455;983,265410448006;48
"65";"q65_UAPS.URBANA...Borboleta";"-21.755034077079554 -43.37547359643211 771.2271036713373 16.0";-21,7550340770796;-43,3754735964321;771,227103671337;16
"66";"q66_UAPS.URBANA...Santos.Dumont";"-21.77919841459854 -43.38447445628229 841.9921457062451 16.0";-21,7791984145985;-43,3844744562823;841,992145706245;16
"67";"q67_UAPS.URBANA...São.Pedro";"-21.772886999918512 -43.37162752264398 857.1887095140057 6.0";-21,7728869999185;-43,371627522644;857,188709514006;6
"68";"q68_Ajuda.Mútua...ALANOM.Grupo.Harmonia";NA;NA;NA;NA;NA
"69";"q69_Ajuda.Mútua...ALANOM.Grupo.Libertação";"-21.7505709415572 -43.35586332651849 716.0986490549159 16.0";-21,7505709415572;-43,3558633265185;716,098649054916;16
"70";"q70_Ajuda.Mútua...ALANOM.Grupo.Renascer";NA;NA;NA;NA;NA
"71";"q71_Ajuda.Mútua...ALANOM.Grupo.Só.Por.Hoje";NA;NA;NA;NA;NA
"72";"q72_Ajuda.Mútua...GEVE";NA;NA;NA;NA;NA
"73";"q73_Ajuda.Mútua...Grupo.A.A.Juiz.de.Fora..Sala.de.abordagem.";"-21.761276478716592 -43.344140120290135 680.2105980863982 24.0";-21,7612764787166;-43,3441401202901;680,210598086398;24
"74";"q74_Ajuda.Mútua...Grupo.A.A..Central";"-21.76050142933211 -43.34631400962622 708.5245893299715 16.0";-21,7605014293321;-43,3463140096262;708,524589329971;16
"75";"q75_Ajuda.Mútua...Grupo.A.A..Libertação";"-21.744504829286456 -43.365609168955444 680.3106660890213 32.0";-21,7445048292865;-43,3656091689554;680,310666089021;32
"76";"q76_Ajuda.Mútua...Grupo.A.A..Reunidos";NA;NA;NA;NA;NA
"77";"q77_Ajuda.Mútua...Grupo.N.A..Glória";NA;NA;NA;NA;NA
"78";"q78_Ajuda.Mútua...Grupo.N.A..Libertação";"-21.77586294990523 -43.340868090748884 774.7215670414707 8.0";-21,7758629499052;-43,3408680907489;774,721567041471;8
"79";"q79_Ajuda.Mútua...NARANOM.Grupo.Glória";NA;NA;NA;NA;NA
"80";"q80_Ajuda.Mútua...NARANOM.Grupo.Parque.Halfeld";"-21.76069592115675 -43.3507936766504 672.6952022153009 24.0";-21,7606959211567;-43,3507936766504;672,695202215301;24
"81";"q81_Ajuda.Mútua...Pastoral.da.Sobriedade";NA;NA;NA;NA;NA
"82";"q82_Ajuda.Mútua...Grupo.A.A..Azul.e.Branco";NA;NA;NA;NA;NA
"83";"q83_Ajuda.Mútua...NARANOM.Grupo.Renascer";NA;NA;NA;NA;NA
"84";"q84_Ajuda.Mútua...Grupo.A.A..29.de.Junho";NA;NA;NA;NA;NA
"85";"q85_Ajuda.Mútua...Grupo.A.A..Cidade.do.Sol";NA;NA;NA;NA;NA
