"","census_labels","tc_var0"
"1","003",941561
"2","012",84648
"3","102",25200
"4","021D",5457
"5","021U",1507
"6","021C",2599
"7","111D",1355
"8","111U",5246
"9","030T",410
"10","030C",38
"11","201",3242
"12","120D",113
"13","120U",369
"14","120C",156
"15","210",410
"16","300",134
