"","census_labels","tc_var1"
"1","003",921800
"2","012",103609
"3","102",23720
"4","021D",5426
"5","021U",2452
"6","021C",3763
"7","111D",2682
"8","111U",4063
"9","030T",605
"10","030C",55
"11","201",3141
"12","120D",170
"13","120U",284
"14","120C",176
"15","210",394
"16","300",105
