"","name"
"109","q109_Ajuda.Mútua...Igreja.Batista.Resplandecente.Estrela.do.Amanhã.IBREM.1"
"110","q110_Ajuda.Mútua...Grupo.A.A..Ipiranga"
"111","q111_Ajuda.Mútua...Grupo.N.A.Rendição"
"112","q112_Ajuda.Mútua…Escritório de Serviços Locais"
"113","q113_Ajuda.Mútua…GABENAE - Grupo de apoio Benfica de amor exigente"
"114","q114_Ajuda.Mútua…GASMAE - Grupo de apoio São Mateus de amor exigente"
"115","q115_Ajuda.Mútua…Grupo de amor exigente - Linhares"
"116","q116_Ajuda.Mútua…Grupo de amor exigente - Santa Terezinha"
"117","q117_Entades.Assistênciais.e.Dependencia.Química.e.CT...Associação.Beneficente.Cristã.Restituir"
"118","q118_Entades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.Resgatando.Vas..Escritório."
"119","q119_Entades.Assistênciais.e.Dependencia.Química.e.CT...Centro.Metodista.de.Assistência.aos.Toxicômanos...CEMAT..Escritório."
"120","q120_Entades.Assistênciais.e.Dependencia.Química.e.CT...Centro.Terapêutico.Reconstruir..escritório."
"121","q121_Entades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos...GAFADEQUI..Administração..triagem.e.apoio.aos.familiares."
"122","q122_Entades.Assistênciais.e.Dependencia.Química.e.CT...Associação.Projeto.Amor.e.Restauração...APAR"
"123","q123_Entades.Assistênciais.e.Dependencia.Química.e.CT...Vila.Verde..Unade.Bromélias."
"124","q124_Entades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.Juiz.de.Fora.Contra.as.Drogas"
"125","q125_Entades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Tratamento.Deville"
"126","q126_Entades.Assistênciais.e.Dependencia.Química.e.CT...Núcleo.de.Apoio.aos.Toxicômanos.Anônimos.de.Juiz.de.Fora..NATA."
"127","q127_Entades.Assistênciais.e.Dependencia.Química.e.CT...Centro.Metodista.de.Assistência.aos.Toxicômanos...CEMAT"
"128","q128_Entades.Assistênciais.e.Dependencia.Química.e.CT...Comunade.Terapêutica.Família.em.Cristo"
"129","q129_Entades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.SOS.Va"
"130","q130_Entades.Assistênciais.e.Dependencia.Química.e.CT...Centro.Terapêutico.Reconstruir..fazenda."
"131","q131_Entades.Assistênciais.e.Dependencia.Química.e.CT...Reencontro.com.a.Va"
"132","q132_Entades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos...GAFADEQUI"
"133","q133_Entades.Assistênciais.e.Dependencia.Química.e.CT...Associação.Projeto.Amor.e.Resgate"
"134","q134_Entades.Assistênciais.e.Dependencia.Química.e.CT...Comunade.Terapêutica.Geração.de.Adoradores...CTGA"
"135","q135_Entades.Assistênciais.e.Dependencia.Química.e.CT...Vila.Verde..Unade.Borboleta."
"136","q136_Entades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.Resgatando.Vas"
"137","q137_Entades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos...GAFADEQUI.1"
"138","q138_Entades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos…Território Aliança Zona Norte"
"139","q139_Resência.Terapeutica...Casa.1"
"140","q140_Resência.Terapeutica...Casa.3"
"141","q141_Resência.Terapeutica...Casa.4"
"142","q142_Resência.Terapeutica...Casa.5"
"143","q143_Resência.Terapeutica...Casa.6"
"144","q144_Resência.Terapeutica...Casa.7"
"145","q145_Resência.Terapeutica...Casa.V1"
"146","q146_Resência.Terapeutica...Casa.V2"
"147","q147_Resência.Terapeutica...Casa.V3"
"148","q148_Resência.Terapeutica...Casa.V4"
"149","q149_Resência.Terapeutica...Casa.V5"
"150","q150_Resência.Terapeutica...Casa.V6"
"151","q151_Entades.Socioassistenciais...Associação.Beneficente.e.Cultural.Amigos.do.Noivo..ABAN...Matriz."
