"","var6_indegree","var6_outdegree","var6_totaldegree","var6_incloseness","var6_outcloseness","var6_totalcloseness","var6_betweenness","var6_eigenvector","var6_reach_in_vec","var6_reach_out_vec"
"163",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"192",1,0,1,2.89050757312984e-05,2.87505031338048e-05,4.72969777231235e-05,0,0,0.0106951871657754,NA
"170",7,0,7,3.00345397206788e-05,2.87505031338048e-05,4.7346243075612e-05,0,0,0.0481283422459893,NA
"177",0,2,2,2.87505031338048e-05,2.9218407596786e-05,4.74608448030375e-05,0,0,0.0053475935828877,NA
"185",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"187",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"164",8,0,8,3.00354418213492e-05,2.87505031338048e-05,4.7341760166643e-05,0,0,0.0481283422459893,NA
"118",1,2,3,2.89050757312984e-05,2.90613193839e-05,4.71942989286894e-05,1,0,0.0106951871657754,NA
"134",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"136",2,0,2,2.90613193839e-05,2.87505031338048e-05,4.71542415240251e-05,0,0,0.0160427807486631,NA
"181",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"180",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"117",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"138",0,3,3,2.87505031338048e-05,2.95386069592958e-05,4.72768532526475e-05,0,0,0.0053475935828877,NA
"22",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"145",0,2,2,2.87505031338048e-05,2.90613193839e-05,4.75601636069628e-05,0,0,0.0053475935828877,NA
"184",1,0,1,2.9217553906387e-05,2.87505031338048e-05,4.74338298074187e-05,0,0,0.0213903743315508,NA
"191",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"151",1,1,2,2.89050757312984e-05,2.89050757312984e-05,2.90613193839e-05,0,0,0.0106951871657754,NA
"162",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"172",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"137",2,2,4,2.90613193839e-05,2.90613193839e-05,2.90613193839e-05,0,1,0.0160427807486631,NA
"173",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"112",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"160",2,0,2,2.90613193839e-05,2.87505031338048e-05,2.90613193839e-05,0,0,0.0160427807486631,NA
"68",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"71",1,0,1,2.89050757312984e-05,2.87505031338048e-05,4.74788719020036e-05,0,0,0.0106951871657754,NA
"174",3,0,3,2.92192613370734e-05,2.87505031338048e-05,4.70654680660799e-05,0,0,0.0213903743315508,NA
"176",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"179",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"175",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"64",0,1,1,2.87505031338048e-05,2.89050757312984e-05,4.71764872387602e-05,0,0,0.0053475935828877,NA
"190",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"107",1,0,1,2.89050757312984e-05,2.87505031338048e-05,4.74788719020036e-05,0,0,0.0106951871657754,NA
"178",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"132",2,2,4,2.90613193839e-05,2.90613193839e-05,2.90613193839e-05,0,1,0.0160427807486631,NA
"124",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"139",0,1,1,2.87505031338048e-05,2.9217553906387e-05,4.74338298074187e-05,0,0,0.0053475935828877,NA
"144",0,2,2,2.87505031338048e-05,2.93772032902468e-05,4.75737392959087e-05,0,0,0.0053475935828877,NA
"158",1,1,2,2.89050757312984e-05,2.89050757312984e-05,4.74023511566174e-05,1,0,0.0106951871657754,NA
"188",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"194",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"195",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"122",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"159",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"183",2,0,2,2.90613193839e-05,2.87505031338048e-05,4.73014521545811e-05,0,0,0.0160427807486631,NA
"110",1,0,1,2.89050757312984e-05,2.87505031338048e-05,4.74788719020036e-05,0,0,0.0106951871657754,NA
