"","full_no_zero_indegree","full_no_zero_outdegree","full_no_zero_totaldegree","full_no_zero_incloseness","full_no_zero_outcloseness","full_no_zero_totalcloseness","full_no_zero_betweenness","full_no_zero_eigenvector","full_no_zero_reach_in_vec","full_no_zero_reach_out_vec","full_no_zero_sp_in_vec","full_no_zero_sp_out_vec"
"19",5,2,7,0.000149678191887442,0.00156739811912226,0.0024390243902439,2.8,0.137,0.818181818181818,NA,NA,NA
"27",5,3,8,0.000149678191887442,0.00157232704402516,0.00244498777506112,5.7,0.144,0.818181818181818,NA,NA,NA
"28",5,1,6,0.000149678191887442,0.00151975683890578,0.00246305418719212,0,0.129,0.818181818181818,NA,NA,NA
"32",6,1,7,0.000149700598802395,0.00151975683890578,0.00244498777506112,0,0.153,0.818181818181818,NA,NA,NA
"36",8,6,14,0.000149857635246516,0.00160513643659711,0.00248756218905473,40.4,0.177,0.818181818181818,NA,NA,NA
"39",6,2,8,0.000149611011370437,0.00153139356814701,0.00242718446601942,0.8,0.166,0.818181818181818,NA,NA,NA
"44",6,1,7,0.000149611011370437,0.00151975683890578,0.00245098039215686,0,0.143,0.818181818181818,NA,NA,NA
"49",9,1,10,0.000149700598802395,0.00151975683890578,0.00248756218905473,7.2,0.17,0.818181818181818,NA,NA,NA
"50",5,2,7,0.000149588631264024,0.00156739811912226,0.00246913580246914,0.9,0.131,0.818181818181818,NA,NA,NA
"52",9,2,11,0.000149700598802395,0.0015220700152207,0.0024330900243309,50.8,0.173,0.818181818181818,NA,NA,NA
"58",6,1,7,0.000149588631264024,0.00151975683890578,0.00242130750605327,2.6,0.149,0.818181818181818,NA,NA,NA
"59",5,2,7,0.000149566257852229,0.00153846153846154,0.00240384615384615,6.7,0.125,0.818181818181818,NA,NA,NA
"63",5,1,6,0.000149588631264024,0.00151975683890578,0.00242130750605327,0,0.134,0.818181818181818,NA,NA,NA
"152",2,1,3,0.000149053510210165,0.00151975683890578,0.0023094688221709,0,0.056,0.818181818181818,NA,NA,NA
"171",33,1,34,0.000150511739915713,0.00151975683890578,0.00265957446808511,195.1,0.364,0.818181818181818,NA,NA,NA
"193",14,2,16,0.000149835181300569,0.00156739811912226,0.0025,390,0.159,0.818181818181818,NA,NA,NA
"20",6,1,7,0.000149611011370437,0.00118906064209275,0.00241545893719807,0.1,0.145,0.818181818181818,NA,NA,NA
"189",5,2,7,0.000147362216327734,0.00135685210312076,0.00204498977505112,3.3,0.044,0.818181818181818,NA,NA,NA
"1",2,1,3,0.000148522204069508,0.00137931034482759,0.00228310502283105,0.3,0.059,0.818181818181818,NA,NA,NA
"7",3,1,4,0.000149633398174473,0.00137931034482759,0.00242718446601942,0.3,0.113,0.818181818181818,NA,NA,NA
"9",2,1,3,0.000148522204069508,0.00137931034482759,0.00228310502283105,0.3,0.059,0.818181818181818,NA,NA,NA
"13",3,1,4,0.000149633398174473,0.00137931034482759,0.00242718446601942,0.3,0.113,0.818181818181818,NA,NA,NA
"14",2,1,3,0.000148522204069508,0.00137931034482759,0.00228310502283105,0.3,0.059,0.818181818181818,NA,NA,NA
"77",10,1,11,0.000149454491107458,0.00121802679658952,0.00266666666666667,6.3,0.094,0.818181818181818,NA,NA,NA
"84",4,1,5,0.000144969556393157,0.00122100122100122,0.00209205020920502,4.9,0.005,0.818181818181818,NA,NA,NA
"4",3,0,3,0.00015281173594132,2.87505031338048e-05,0.00229357798165138,0,0.073,0.823529411764706,NA,NA,NA
"10",4,0,4,0.000153917192550408,2.87505031338048e-05,0.0024330900243309,0,0.128,0.823529411764706,NA,NA,NA
"11",3,0,3,0.00015389350569406,2.87505031338048e-05,0.00242718446601942,0,0.113,0.823529411764706,NA,NA,NA
"69",2,0,2,0.000147907114332199,2.87505031338048e-05,0.00204498977505112,0,0.001,0.823529411764706,NA,NA,NA
"72",2,0,2,0.000148367952522255,2.87505031338048e-05,0.00179856115107914,0,0.002,0.823529411764706,NA,NA,NA
"74",11,0,11,0.00015389350569406,2.87505031338048e-05,0.00268096514745308,0,0.121,0.823529411764706,NA,NA,NA
"75",5,0,5,0.000150738619234248,2.87505031338048e-05,0.00201207243460765,0,0.013,0.823529411764706,NA,NA,NA
"78",4,0,4,0.000155424308361828,2.87505031338048e-05,0.00213219616204691,0,0.017,0.828877005347594,NA,NA,NA
"79",3,0,3,0.000155207201614155,2.87505031338048e-05,0.00208333333333333,0,0.015,0.828877005347594,NA,NA,NA
"82",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"83",2,0,2,0.000151653017895056,2.87505031338048e-05,0.00188679245283019,0,0.001,0.828877005347594,NA,NA,NA
"85",4,0,4,0.000150557061126167,2.87505031338048e-05,0.00196078431372549,0,0.008,0.823529411764706,NA,NA,NA
"86",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"87",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"88",4,0,4,0.000150715900527506,2.87505031338048e-05,0.00198019801980198,0,0.01,0.823529411764706,NA,NA,NA
"89",4,0,4,0.000150738619234248,2.87505031338048e-05,0.00198807157057654,0,0.011,0.823529411764706,NA,NA,NA
"90",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"92",4,0,4,0.000150715900527506,2.87505031338048e-05,0.00198412698412698,0,0.009,0.823529411764706,NA,NA,NA
"93",5,0,5,0.000150875075437538,2.87505031338048e-05,0.00201612903225806,0,0.02,0.823529411764706,NA,NA,NA
"94",4,0,4,0.000151171579743008,2.87505031338048e-05,0.00209643605870021,0,0.019,0.823529411764706,NA,NA,NA
"95",3,0,3,0.000151263046437755,2.87505031338048e-05,0.00211864406779661,0,0.019,0.823529411764706,NA,NA,NA
"96",4,0,4,0.000150647785477553,2.87505031338048e-05,0.00198019801980198,0,0.01,0.823529411764706,NA,NA,NA
"97",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"98",4,0,4,0.000150647785477553,2.87505031338048e-05,0.00198019801980198,0,0.01,0.823529411764706,NA,NA,NA
"99",4,0,4,0.000150670483652253,2.87505031338048e-05,0.00198807157057654,0,0.011,0.823529411764706,NA,NA,NA
"100",4,0,4,0.000150897842160857,2.87505031338048e-05,0.00209643605870021,0,0.016,0.823529411764706,NA,NA,NA
"101",4,0,4,0.000150897842160857,2.87505031338048e-05,0.00209643605870021,0,0.016,0.823529411764706,NA,NA,NA
"103",6,0,6,0.000151400454201363,2.87505031338048e-05,0.00212314225053079,0,0.044,0.823529411764706,NA,NA,NA
"106",5,0,5,0.00015098897780462,2.87505031338048e-05,0.00212765957446809,0,0.024,0.823529411764706,NA,NA,NA
"108",4,0,4,0.000150647785477553,2.87505031338048e-05,0.00200803212851406,0,0.011,0.823529411764706,NA,NA,NA
"111",1,0,1,0.000148104265402844,2.87505031338048e-05,0.00170357751277683,0,0.002,0.823529411764706,NA,NA,NA
"167",1,0,1,0.000153233220962305,2.87505031338048e-05,0.0022883295194508,0,0.055,0.823529411764706,0.0053475935828877,Inf,Inf
