"","var0_indegree","var0_outdegree","var0_totaldegree","var0_incloseness","var0_outcloseness","var0_totalcloseness","var0_betweenness","var0_eigenvector","var0_reach_in_vec","var0_reach_out_vec"
"163",46,89,135,7.22700007227e-05,0.000160745860794085,0.000802568218298555,3605.8,0.589,0.609625668449198,NA
"192",30,26,56,7.21552781585973e-05,0.000158704967465482,0.000758150113722517,1609,0.372,0.609625668449198,NA
"170",82,105,187,7.24742716335701e-05,0.00016121231662099,0.000822368421052632,9463.2,1,0.609625668449198,NA
"177",11,37,48,7.20357297219421e-05,0.000159515074174509,0.000771604938271605,949.9,0.236,0.609625668449198,NA
"185",17,20,37,7.20668780628423e-05,0.00015845349389954,0.000747384155455904,167.2,0.336,0.609625668449198,NA
"187",13,25,38,7.20409192421295e-05,0.000157977883096367,0.000746268656716418,151.3,0.234,0.609625668449198,NA
"164",12,27,39,7.19631548647093e-05,0.00015852885225111,0.000741289844329133,189.1,0.195,0.609625668449198,NA
"118",8,18,26,7.19527989638797e-05,0.000158553987632789,0.000748502994011976,1009.5,0.144,0.609625668449198,NA
"134",1,4,5,7.13775874375446e-05,0.000154894671623296,0.000662251655629139,0.4,0.01,0.609625668449198,NA
"136",4,2,6,7.1926922246997e-05,0.00015552099533437,0.000725689404934688,87,0.088,0.609625668449198,NA
"181",16,11,27,7.20564922899553e-05,0.00015802781289507,0.000743494423791822,295,0.281,0.609625668449198,NA
"180",15,0,15,7.30727073438071e-05,2.87505031338048e-05,0.000741289844329133,0,0.254,0.614973262032086,NA
"117",0,6,6,2.87505031338048e-05,0.00016940538709131,0.000675219446320054,0,0,0.0053475935828877,NA
"138",3,24,27,7.15102974828375e-05,0.000159058374423413,0.000763941940412529,427.3,0.035,0.609625668449198,NA
"22",4,6,10,7.19786943064853e-05,0.000157728706624606,0.000727802037845706,1.9,0.142,0.609625668449198,NA
"145",4,8,12,7.19786943064853e-05,0.000157430730478589,0.000733137829912023,5.4,0.12,0.609625668449198,NA
"184",14,58,72,7.20720720720721e-05,0.000159897665494084,0.000768639508070715,798.6,0.284,0.609625668449198,NA
"191",27,18,45,7.21500721500722e-05,0.00015845349389954,0.00075642965204236,324,0.379,0.609625668449198,NA
"151",3,5,8,7.15307582260372e-05,0.000157554750275721,0.000722021660649819,334.9,0.026,0.609625668449198,NA
"162",6,6,12,7.19579765416997e-05,0.000157207986165697,0.000731528895391368,28.1,0.151,0.609625668449198,NA
"172",12,15,27,7.20461095100864e-05,0.000158152775581211,0.000745156482861401,124.7,0.235,0.609625668449198,NA
"137",3,2,5,7.33998825601879e-05,2.90613193839e-05,0.000661813368630046,6.1,0.02,0.620320855614973,NA
"173",15,0,15,7.30566919929866e-05,2.87505031338048e-05,0.000736919675755343,0,0.299,0.614973262032086,NA
"112",1,0,1,7.28173013908105e-05,2.87505031338048e-05,0.000628930817610063,0,0.001,0.620320855614973,NA
"160",2,1,3,7.09773582227269e-05,0.000156936597614564,0.000704225352112676,67,0.002,0.609625668449198,NA
"68",1,0,1,7.28597449908925e-05,2.87505031338048e-05,0.000716332378223496,0,0.069,0.614973262032086,NA
"71",2,0,2,7.24112961622013e-05,2.87505031338048e-05,0.000696378830083565,0,0.016,0.614973262032086,NA
"174",17,28,45,7.20980533525595e-05,0.000158654608916389,0.000744601638123604,300.4,0.31,0.609625668449198,NA
"176",11,25,36,7.20305409493625e-05,0.000158704967465482,0.000745712155108128,107.6,0.245,0.609625668449198,NA
"179",9,12,21,7.20149791156561e-05,0.000157703832203123,0.000736377025036819,159.4,0.223,0.609625668449198,NA
"175",14,0,14,7.30193501277839e-05,2.87505031338048e-05,0.000734214390602056,0,0.296,0.614973262032086,NA
"64",5,1,6,7.1999424004608e-05,0.000154012012937009,0.000726744186046512,0.5,0.173,0.609625668449198,NA
"190",12,9,21,7.20616848021907e-05,0.000158152775581211,0.000744047619047619,93.4,0.258,0.609625668449198,NA
"107",2,0,2,7.23903286520921e-05,2.87505031338048e-05,0.000688231245698555,0,0.011,0.614973262032086,NA
"178",10,0,10,7.2992700729927e-05,2.87505031338048e-05,0.000731528895391368,0,0.221,0.614973262032086,NA
"132",3,0,3,7.43383883437407e-05,2.87505031338048e-05,0.000660938532716457,0,0.012,0.625668449197861,NA
"124",7,0,7,7.29607471180505e-05,2.87505031338048e-05,0.000729394602479942,0,0.134,0.614973262032086,NA
"139",4,3,7,7.16897268621407e-05,0.000155617802676626,0.000696864111498258,43.3,0.071,0.609625668449198,NA
"144",3,5,8,7.16435019343745e-05,0.00015802781289507,0.00072992700729927,34,0.05,0.609625668449198,NA
"158",15,22,37,7.20305409493625e-05,0.00015845349389954,0.000749063670411985,444.7,0.174,0.609625668449198,NA
"188",14,0,14,7.40356852002665e-05,2.87505031338048e-05,0.000744601638123604,0,0.24,0.620320855614973,NA
