"","var3_indegree","var3_outdegree","var3_totaldegree","var3_incloseness","var3_outcloseness","var3_totalcloseness","var3_betweenness","var3_eigenvector","var3_reach_in_vec","var3_reach_out_vec"
"163",19,7,26,4.70101541933058e-05,0.000122294239941299,0.000131717597471022,361.2,0.506,0.39572192513369,NA
"192",13,40,53,4.70101541933058e-05,0.000122624156958921,0.000132135306553911,905.6,0.401,0.39572192513369,NA
"170",41,95,136,4.70854129390715e-05,0.000123915737298637,0.000133404482390608,5943.5,1,0.39572192513369,NA
"177",6,13,19,4.69682025268893e-05,0.000122309197651663,0.000131630906936949,91.8,0.228,0.39572192513369,NA
"185",13,0,13,4.74068455484972e-05,2.87505031338048e-05,0.000131406044678055,0,0.402,0.401069518716578,NA
"187",6,25,31,4.69682025268893e-05,0.000122144863808477,0.000131630906936949,144.4,0.198,0.39572192513369,NA
"164",4,27,31,4.69571750563486e-05,0.000122488975992161,0.000131682907558599,150.5,0.182,0.39572192513369,NA
"118",3,16,19,4.6849379245725e-05,0.000122309197651663,0.000131440588853838,657.3,0.037,0.39572192513369,NA
"134",1,5,6,4.66962409526033e-05,0.000121921482565228,0.000131233595800525,2.6,0.004,0.39572192513369,NA
"136",4,2,6,4.68625521345893e-05,0.00012045290291496,0.00012987012987013,78.1,0.062,0.39572192513369,NA
"181",8,4,12,4.69726149654751e-05,0.000120163422254266,0.000131164742917104,169.6,0.232,0.39572192513369,NA
"180",11,0,11,4.74023511566174e-05,2.87505031338048e-05,0.000131475151196424,0,0.34,0.401069518716578,NA
"117",1,12,13,4.67814371257485e-05,0.000121270919233568,0.000130701869036727,173.7,0.014,0.39572192513369,NA
"138",2,13,15,4.67071461933676e-05,0.0001215953307393,0.000130599451482304,46.3,0.01,0.39572192513369,NA
"22",3,2,5,4.694174529409e-05,0.000121773015099854,0.00013111315064901,0.2,0.156,0.39572192513369,NA
"145",3,8,11,4.69505610592047e-05,0.000121050720251785,0.000131337010769635,7.8,0.167,0.39572192513369,NA
"184",11,58,69,4.69968982047185e-05,0.000123350191192796,0.00013250298131708,1076.2,0.37,0.39572192513369,NA
"191",9,0,9,4.73754026909229e-05,2.87505031338048e-05,0.000131164742917104,0,0.205,0.401069518716578,NA
"151",2,0,2,4.7666714333381e-05,2.87505031338048e-05,0.000130022103757639,0,0.037,0.406417112299465,NA
"162",4,6,10,4.69461527627811e-05,0.000120569086086327,0.000131250820317627,40.2,0.186,0.39572192513369,NA
"172",10,13,23,4.6988065031482e-05,0.000120948234155781,0.000131648235913639,371.4,0.394,0.39572192513369,NA
"137",3,2,5,4.79386385426654e-05,2.90613193839e-05,0.000128998968008256,0,0.005,0.411764705882353,NA
"173",10,8,18,4.69902730134862e-05,0.00012187690432663,0.000131492439184747,46,0.366,0.39572192513369,NA
"112",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
