"","temp_indegree","temp_outdegree","temp_totaldegree","temp_incloseness","temp_outcloseness","temp_totalcloseness","temp_betweenness","temp_eigenvector","temp_reach_in_vec","temp_reach_out_vec"
"1",1,1,2,9.74943940723408e-05,0.00032927230819888,0.00155038759689923,0.7,0.041,0.716577540106952,NA
"2",4,3,7,9.80969197567196e-05,0.000347222222222222,0.00165837479270315,2.4,0.141,0.716577540106952,NA
"3",3,1,4,9.80680592331078e-05,0.000346260387811634,0.00162337662337662,4.6,0.123,0.716577540106952,NA
"4",4,3,7,9.80776775205963e-05,0.000348310693138279,0.00163398692810457,16.1,0.134,0.716577540106952,NA
"5",7,6,13,9.8135426889107e-05,0.000349406009783368,0.00165016501650165,67.3,0.158,0.716577540106952,NA
"6",2,1,3,9.80584428319278e-05,0.00032927230819888,0.0016260162601626,0.7,0.11,0.716577540106952,NA
"7",5,1,6,9.80969197567196e-05,0.000346260387811634,0.00163132137030995,0,0.151,0.716577540106952,NA
"8",1,1,2,9.74943940723408e-05,0.00032927230819888,0.00155038759689923,0.7,0.041,0.716577540106952,NA
"9",3,1,4,9.80584428319278e-05,0.000346260387811634,0.00162337662337662,0,0.121,0.716577540106952,NA
"10",2,1,3,9.80584428319278e-05,0.00032927230819888,0.0016260162601626,0.7,0.11,0.716577540106952,NA
"11",1,1,2,9.74943940723408e-05,0.00032927230819888,0.00155038759689923,0.7,0.041,0.716577540106952,NA
"12",4,1,5,9.80872976949485e-05,0.000346260387811634,0.00163132137030995,4.6,0.124,0.716577540106952,NA
"13",3,3,6,9.7570494682408e-05,0.000347342827370615,0.00165837479270315,2.4,0.072,0.716577540106952,NA
"14",2,2,4,9.80488283165016e-05,0.000346500346500347,0.0016260162601626,0.7,0.11,0.716577540106952,NA
"15",5,1,6,9.80969197567196e-05,0.000346260387811634,0.00163132137030995,0,0.151,0.716577540106952,NA
"16",4,2,6,9.80776775205963e-05,0.000346500346500347,0.00163132137030995,6,0.134,0.716577540106952,NA
"17",5,1,6,9.81065437064652e-05,0.0003269042170644,0.00163398692810457,0.1,0.153,0.716577540106952,NA
"18",8,4,12,9.81257972721028e-05,0.000348068221371389,0.00165016501650165,12,0.186,0.716577540106952,NA
