"","census_labels","tc_var5"
"1","003",1032565
"2","012",35818
"3","102",1253
"4","021D",2599
"5","021U",84
"6","021C",46
"7","111D",4
"8","111U",29
"9","030T",40
"10","030C",0
"11","201",1
"12","120D",0
"13","120U",5
"14","120C",0
"15","210",1
"16","300",0
