"","var4_indegree","var4_outdegree","var4_totaldegree","var4_incloseness","var4_outcloseness","var4_totalcloseness","var4_betweenness","var4_eigenvector","var4_reach_in_vec","var4_reach_out_vec"
"163",10,7,17,3.53257029814893e-05,5.1440329218107e-05,0.000182781941144215,389.6,0,0.192513368983957,NA
"192",1,1,2,3.07106443093176e-05,5.17143300408543e-05,0.000178380306814128,0,0,0.0695187165775401,NA
"170",12,66,78,3.53394352758243e-05,5.16235609932373e-05,0.000186428038777032,2400.7,0,0.192513368983957,NA
"177",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"185",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"187",1,3,4,3.52683924666714e-05,5.14191690662279e-05,0.00018152114721365,22.7,0,0.192513368983957,NA
"164",5,27,32,3.52771016333298e-05,5.15224895666959e-05,0.000183924958616884,481.2,0,0.192513368983957,NA
"118",2,3,5,2.90613193839e-05,5.24109014675052e-05,0.000181587071000545,103.8,0,0.0160427807486631,NA
"134",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"136",2,1,3,2.90613193839e-05,5.21811730327698e-05,0.000177525297354873,0,0,0.0160427807486631,NA
"181",4,10,14,3.52746128611238e-05,5.14588586425153e-05,0.000181653042688465,277,0,0.192513368983957,NA
"180",2,0,2,3.07049864898059e-05,2.87505031338048e-05,0.000176180408738548,0,0,0.0695187165775401,NA
"117",1,10,11,2.89050757312984e-05,6.39795265515035e-05,0.000180603214737222,103,0,0.0106951871657754,NA
"138",0,9,9,2.87505031338048e-05,6.4077918749199e-05,0.000180407721450478,0,0,0.0053475935828877,NA
"22",2,0,2,3.55366027007818e-05,2.87505031338048e-05,0.000181225081551287,0,0,0.197860962566845,NA
"145",1,8,9,3.05371484410786e-05,6.17970584600173e-05,0.000180310133429499,15.9,0,0.0641711229946524,NA
"184",0,5,5,2.87505031338048e-05,5.19264721154845e-05,0.000181752090149037,0,0,0.0053475935828877,NA
"191",6,0,6,3.07106443093176e-05,2.87505031338048e-05,0.000175839634253561,0,0,0.0695187165775401,NA
"151",1,0,1,2.89050757312984e-05,2.87505031338048e-05,2.9060474848159e-05,0,0,0.0106951871657754,NA
"162",1,0,1,3.54660235494396e-05,2.87505031338048e-05,0.000178731009830206,0,0,0.197860962566845,NA
"172",4,2,6,3.53020086842941e-05,5.12295081967213e-05,0.000178858880343409,40.5,0,0.192513368983957,NA
"137",2,4,6,2.90613193839e-05,2.9539479514371e-05,0.000177525297354873,1.5,0,0.0160427807486631,NA
"173",4,0,4,3.553028957186e-05,2.87505031338048e-05,0.000178539546509552,0,0,0.197860962566845,NA
"112",1,0,1,2.9217553906387e-05,2.87505031338048e-05,0.000173460537727667,0,0,0.0213903743315508,NA
"160",1,0,1,2.89050757312984e-05,2.87505031338048e-05,2.9060474848159e-05,0,0,0.0106951871657754,NA
"68",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"71",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00017822135091784,0,0,0.0106951871657754,NA
"174",4,0,4,3.57679376207168e-05,2.87505031338048e-05,0.000178571428571429,0,0,0.203208556149733,NA
"176",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"179",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"175",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"64",1,1,2,3.52982703847511e-05,5.13083632632119e-05,0.000181225081551287,32.2,0,0.192513368983957,NA
"190",4,2,6,3.12470705871325e-05,2.9218407596786e-05,0.000180050414115952,0,0,0.0855614973262032,NA
"107",1,1,2,2.89050757312984e-05,5.16795865633075e-05,0.000180929980097702,76,0,0.0106951871657754,NA
"178",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"132",2,4,6,2.90613193839e-05,2.9539479514371e-05,0.000177525297354873,1.5,0,0.0160427807486631,NA
"124",0,1,1,2.87505031338048e-05,5.18995225243928e-05,0.000181093806591815,0,0,0.0053475935828877,NA
"139",0,1,1,2.87505031338048e-05,2.96956198960653e-05,0.00016923337282112,0,0,0.0053475935828877,NA
"144",0,1,1,2.87505031338048e-05,2.96956198960653e-05,0.00016923337282112,0,0,0.0053475935828877,NA
"158",10,22,32,3.05464764639399e-05,6.21272365805169e-05,0.000183452577508714,674.8,0,0.0641711229946524,NA
"188",5,2,7,3.12480469970627e-05,2.9218407596786e-05,0.000180082838105529,3,0,0.0855614973262032,NA
"194",2,2,4,3.0539013589861e-05,6.17474529175671e-05,0.000178858880343409,0.7,0,0.0641711229946524,NA
"195",3,2,5,3.05399462496946e-05,6.17474529175671e-05,0.00017921146953405,1.2,0,0.0641711229946524,NA
"122",1,0,1,3.57193884840692e-05,2.87505031338048e-05,0.00017611835153223,0,0,0.203208556149733,NA
"159",0,1,1,2.87505031338048e-05,2.9060474848159e-05,0.000173460537727667,0,0,0.0053475935828877,NA
"183",6,0,6,3.0715360751912e-05,2.87505031338048e-05,0.000178794922224209,0,0,0.0695187165775401,NA
"110",1,3,4,2.89050757312984e-05,2.92192613370734e-05,0.00018152114721365,3,0,0.0106951871657754,NA
"146",1,8,9,3.05371484410786e-05,6.17932398195637e-05,0.000180407721450478,4,0,0.0641711229946524,NA
"147",1,8,9,3.05371484410786e-05,6.17932398195637e-05,0.000180407721450478,4,0,0.0641711229946524,NA
"148",1,8,9,3.05371484410786e-05,6.17932398195637e-05,0.000180407721450478,4,0,0.0641711229946524,NA
"149",1,8,9,3.05371484410786e-05,6.17932398195637e-05,0.000180407721450478,4,0,0.0641711229946524,NA
"150",1,8,9,3.05371484410786e-05,6.17932398195637e-05,0.000180407721450478,4,0,0.0641711229946524,NA
"128",1,1,2,2.89050757312984e-05,2.89050757312984e-05,0.000174064403829417,1,0,0.0106951871657754,NA
"67",1,3,4,3.52348402099996e-05,5.13347022587269e-05,0.000179856115107914,79,0,0.192513368983957,NA
"102",0,36,36,2.87505031338048e-05,7.98020908147793e-05,0.000183385292499542,0,0,0.0053475935828877,NA
"182",1,1,2,3.54233085370174e-05,2.89050757312984e-05,0.000177999288002848,35,0,0.197860962566845,NA
"37",2,1,3,3.55366027007818e-05,2.89050757312984e-05,0.000181290790427846,12.5,0,0.197860962566845,NA
"81",1,0,1,2.89050757312984e-05,2.87505031338048e-05,0.00017822135091784,0,0,0.0106951871657754,NA
"165",9,2,11,3.53194645569173e-05,5.14112384967354e-05,0.000183385292499542,177.4,0,0.192513368983957,NA
"73",2,0,2,3.55138859293984e-05,2.87505031338048e-05,0.000181719062329638,0,0,0.197860962566845,NA
"123",2,2,4,2.90613193839e-05,2.90613193839e-05,2.90613193839e-05,0,0,0.0160427807486631,NA
"51",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"61",1,1,2,3.5297024460838e-05,5.14059528093353e-05,0.000181093806591815,0,0,0.192513368983957,NA
"129",0,6,6,2.87505031338048e-05,6.92952671332548e-05,0.000178922884236894,0,0,0.0053475935828877,NA
"125",0,1,1,2.87505031338048e-05,2.89050757312984e-05,0.000174398325776073,0,0,0.0053475935828877,NA
"80",1,2,3,2.89050757312984e-05,2.90613193839e-05,0.000178284899269032,0,0,0.0106951871657754,NA
"156",2,0,2,3.07125307125307e-05,2.87505031338048e-05,0.000178762960314623,0,0,0.0695187165775401,NA
"161",2,1,3,2.90613193839e-05,2.95368620037807e-05,0.000173882802990784,10,0,0.0160427807486631,NA
"26",2,0,2,3.55366027007818e-05,2.87505031338048e-05,0.000181225081551287,0,0,0.197860962566845,NA
"23",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"31",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"33",2,2,4,3.53007624964699e-05,5.12531392547794e-05,0.000182715147085693,60,0,0.192513368983957,NA
"34",3,0,3,3.55366027007818e-05,2.87505031338048e-05,0.000181323662737987,0,0,0.197860962566845,NA
"35",4,0,4,3.55429180735738e-05,2.87505031338048e-05,0.000181455271275631,0,0,0.197860962566845,NA
"40",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"42",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"186",4,3,7,3.12470705871325e-05,2.92192613370734e-05,0.000181422351233672,15,0,0.0855614973262032,NA
"113",4,4,8,3.003003003003e-05,2.93789294318115e-05,0.000173852573018081,0,0,0.0481283422459893,NA
"114",4,4,8,3.003003003003e-05,2.93789294318115e-05,0.000173852573018081,0,0,0.0481283422459893,NA
"115",4,4,8,3.003003003003e-05,2.93789294318115e-05,0.000173852573018081,0,0,0.0481283422459893,NA
"116",4,4,8,3.003003003003e-05,2.93789294318115e-05,0.000173852573018081,0,0,0.0481283422459893,NA
"47",3,1,4,3.53094876593341e-05,5.14059528093353e-05,0.000182615047479912,158,0,0.192513368983957,NA
"76",2,1,3,2.90613193839e-05,2.89050757312984e-05,0.000178348492955235,2,0,0.0160427807486631,NA
"104",6,4,10,3.00336376741951e-05,2.93789294318115e-05,0.000178667143112382,16,0,0.0481283422459893,NA
"30",2,0,2,3.55353398955261e-05,2.87505031338048e-05,0.000181225081551287,0,0,0.197860962566845,NA
"127",1,0,1,2.9060474848159e-05,2.87505031338048e-05,0.00016940538709131,0,0,0.0160427807486631,NA
"130",2,1,3,2.9218407596786e-05,2.89050757312984e-05,0.000175623463294696,0,0,0.0213903743315508,NA
"46",2,1,3,3.53045013239188e-05,5.1305730850136e-05,0.000181225081551287,32.2,0,0.192513368983957,NA
"53",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"54",1,1,2,3.55290272152348e-05,2.89050757312984e-05,0.000181159420289855,36,0,0.197860962566845,NA
"91",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"135",2,2,4,2.90613193839e-05,2.90613193839e-05,2.90613193839e-05,0,0,0.0160427807486631,NA
"168",2,2,4,2.90613193839e-05,2.90613193839e-05,2.90613193839e-05,0,0,0.0160427807486631,NA
"55",2,0,2,3.57679376207168e-05,2.87505031338048e-05,0.000182481751824818,0,0,0.203208556149733,NA
"119",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"120",2,1,3,2.9218407596786e-05,2.89050757312984e-05,0.000175623463294696,0,0,0.0213903743315508,NA
"121",2,2,4,2.90613193839e-05,2.95368620037807e-05,0.000172711571675302,0,0,0.0160427807486631,NA
"24",2,0,2,3.55353398955261e-05,2.87505031338048e-05,0.000181225081551287,0,0,0.197860962566845,NA
"169",3,0,3,3.55479719881981e-05,2.87505031338048e-05,0.000182182546912006,0,0,0.197860962566845,NA
"157",0,2,2,2.87505031338048e-05,2.90613193839e-05,2.90613193839e-05,0,0,0.0053475935828877,NA
"155",1,0,1,3.54635080502163e-05,2.87505031338048e-05,0.000176584849019954,0,0,0.197860962566845,NA
"140",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"141",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"38",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"48",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"62",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"142",0,0,0,2.87505031338048e-05,2.87505031338048e-05,2.87505031338048e-05,0,0,0.0053475935828877,NA
"143",1,0,1,3.54911981828507e-05,2.87505031338048e-05,0.000173943294485998,0,0,0.197860962566845,NA
"65",3,0,3,3.5540391655116e-05,2.87505031338048e-05,0.000184331797235023,0,0,0.197860962566845,NA
"66",2,0,2,3.55366027007818e-05,2.87505031338048e-05,0.000181225081551287,0,0,0.197860962566845,NA
"6",3,3,6,3.53094876593341e-05,5.13505186402383e-05,0.000181455271275631,134.2,0,0.192513368983957,NA
"21",2,0,2,3.55366027007818e-05,2.87505031338048e-05,0.000181225081551287,0,0,0.197860962566845,NA
"25",1,0,1,3.55290272152348e-05,2.87505031338048e-05,0.000181093806591815,0,0,0.197860962566845,NA
"29",2,0,2,3.55353398955261e-05,2.87505031338048e-05,0.000181225081551287,0,0,0.197860962566845,NA
"41",2,0,2,3.55366027007818e-05,2.87505031338048e-05,0.000181225081551287,0,0,0.197860962566845,NA
