"","census_labels","tc_var6"
"1","003",1055102
"2","012",16007
"3","102",552
"4","021D",622
"5","021U",150
"6","021C",9
"7","111D",0
"8","111U",0
"9","030T",2
"10","030C",0
"11","201",0
"12","120D",0
"13","120U",0
"14","120C",0
"15","210",0
"16","300",1
