"","var2_indegree","var2_outdegree","var2_totaldegree","var2_incloseness","var2_outcloseness","var2_totalcloseness","var2_betweenness","var2_eigenvector","var2_reach_in_vec","var2_reach_out_vec"
"163",31,89,120,6.36253737990711e-05,0.000514933058702369,0.000705218617771509,3549.3,0.547,0.556149732620321,NA
"192",18,45,63,6.35122261035249e-05,0.000509424350483953,0.000673854447439353,1249.5,0.391,0.556149732620321,NA
"170",52,92,144,6.37673766101263e-05,0.000523834468308015,0.000716332378223496,7914.5,1,0.556149732620321,NA
"177",10,27,37,6.35041595224487e-05,0.000509424350483953,0.000662690523525514,478.8,0.325,0.556149732620321,NA
"185",15,3,18,6.35364381472775e-05,0.000483091787439614,0.000651041666666667,31.1,0.448,0.556149732620321,NA
"187",10,0,10,6.50448809678678e-05,2.87505031338048e-05,0.000648929266709929,0,0.287,0.566844919786096,NA
"164",6,27,33,6.34075201318876e-05,0.000491159135559921,0.000656598818122127,240.6,0.179,0.556149732620321,NA
"118",5,18,23,6.32591093117409e-05,0.000505050505050505,0.000669344042838019,973.6,0.052,0.556149732620321,NA
"134",1,5,6,6.28614533568016e-05,0.000484496124031008,0.000645161290322581,7.5,0.004,0.556149732620321,NA
"136",2,2,4,6.28891264700333e-05,0.000464900046490005,0.000599880023995201,0,0.008,0.556149732620321,NA
"181",14,10,24,6.35324015247776e-05,0.000471253534401508,0.00065402223675605,436.8,0.356,0.556149732620321,NA
"180",14,0,14,6.4283877603497e-05,2.87505031338048e-05,0.000652315720808871,0,0.385,0.561497326203209,NA
"117",1,17,18,6.24843789052737e-05,0.000494071146245059,0.00064143681847338,277.2,0.001,0.556149732620321,NA
"138",3,9,12,6.31592244047243e-05,0.000481927710843373,0.000622277535780958,160.6,0.036,0.556149732620321,NA
"22",4,0,4,6.42013353877761e-05,2.87505031338048e-05,0.000643915003219575,0,0.185,0.561497326203209,NA
"145",2,8,10,6.33874239350913e-05,0.00048780487804878,0.000648088139987038,47.7,0.097,0.556149732620321,NA
"184",12,58,70,6.35324015247776e-05,0.000516528925619835,0.000677966101694915,1003.2,0.422,0.556149732620321,NA
"191",13,0,13,6.42549636959455e-05,2.87505031338048e-05,0.000649772579597141,0,0.272,0.561497326203209,NA
"151",1,0,1,6.7604110329908e-05,2.87505031338048e-05,0.000509164969450102,0,0,0.593582887700535,NA
"162",4,5,9,6.34195839675292e-05,0.000452079566003617,0.000646412411118293,51.1,0.142,0.556149732620321,NA
"172",12,9,21,6.35202947341676e-05,0.00048661800486618,0.000655307994757536,526.5,0.316,0.556149732620321,NA
