"","census_labels","tc_var4"
"1","003",1021078
"2","012",40014
"3","102",6777
"4","021D",3019
"5","021U",241
"6","021C",525
"7","111D",86
"8","111U",547
"9","030T",53
"10","030C",3
"11","201",46
"12","120D",15
"13","120U",22
"14","120C",5
"15","210",1
"16","300",13
