"";"from";"to";"var0";"var1";"var2";"var3";"var4";"var5";"var6";"var7";"var8";"var9";"var10";"var11";"var12";"var13";"var14";"var15";"var16";"var17";"var18";"var19";"var20";"var21";"var22";"var23";"var24";"atividade";"acesso";"confianca";"total"
"30252";151;170;1;1;0;0;0;0;0;3;3;2;2;2;3;1;1;1;2;2;2;2;3;3;2;3;3;1;20;20;41
"30253";152;170;1;0;1;1;1;1;0;3;2;3;3;3;3;1;1;1;2;2;3;3;3;3;3;3;3;4;22;23;49
"30254";153;170;1;0;0;1;0;0;0;1;3;3;2;1;1;1;1;2;2;2;1;3;3;1;1;3;3;1;17;17;35
"30255";155;170;1;1;1;0;0;0;0;3;3;2;2;2;3;1;3;2;3;3;3;3;3;3;3;3;3;2;24;24;50
"30256";156;170;0;1;0;0;0;0;0;2;3;3;3;1;1;1;1;3;3;3;3;3;3;3;1;3;3;1;21;22;44
"30258";158;170;1;1;1;1;1;0;0;3;3;3;3;3;3;1;2;1;2;1;2;3;3;3;3;3;3;4;24;21;49
"30261";161;170;0;1;0;0;0;0;0;2;3;2;2;3;2;2;2;2;3;3;3;3;3;3;3;3;3;1;23;24;48
"30263";163;170;1;1;1;1;1;0;0;3;3;2;2;2;3;1;2;2;2;3;3;2;2;2;2;3;3;4;22;20;46
"30264";164;170;1;1;1;1;1;1;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;5;24;24;53
"30265";165;170;1;1;1;1;1;0;0;3;3;3;3;1;3;3;1;3;3;3;2;2;2;3;2;3;3;4;26;20;50
"30268";169;170;1;1;0;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;2;1;1;2;24;19;45
"30270";171;170;1;1;1;1;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;30;24;57
"30271";172;170;1;1;1;0;0;0;0;3;3;3;3;2;2;1;1;1;2;2;2;3;3;3;2;3;3;2;21;21;44
"30272";173;170;0;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;1;2;3;3;3;3;2;3;3;3;22;22;47
"30273";174;170;1;1;1;1;0;0;0;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;28;24;55
"30274";175;170;0;0;1;0;0;0;0;3;3;2;3;2;3;1;1;1;3;3;3;3;3;3;1;3;3;1;22;22;45
"30275";176;170;1;1;1;1;0;0;0;3;3;1;3;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;20;24;47
"30276";177;170;1;1;1;1;0;0;0;2;3;2;2;3;2;1;1;1;3;3;3;3;2;3;1;3;3;3;20;21;44
"30278";179;170;0;0;1;0;0;0;0;1;3;1;1;2;2;1;3;1;2;2;2;2;2;3;1;3;3;1;17;18;36
"30279";180;170;0;1;0;0;0;0;0;2;3;3;3;1;2;1;1;1;3;3;3;3;3;3;2;3;3;1;20;23;44
"30280";181;170;1;0;0;0;1;0;0;2;2;3;2;2;2;3;3;3;2;2;2;2;2;2;1;3;3;1;24;17;42
"30282";183;170;0;1;0;0;0;0;0;3;3;1;3;1;3;1;1;2;2;2;2;3;3;3;1;3;3;1;20;20;41
"30283";184;170;1;1;1;1;1;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;4;24;24;52
"30284";185;170;1;1;1;0;0;0;0;3;3;3;3;3;3;1;2;1;3;2;2;2;3;3;2;3;3;2;25;20;47
"30285";186;170;0;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;3;24;24;51
"30286";187;170;1;0;0;1;1;0;0;3;3;3;1;3;3;1;1;1;3;3;3;3;3;3;3;3;3;2;22;24;48
"30287";188;170;0;1;1;1;0;0;0;2;2;3;2;3;3;1;1;3;2;3;2;3;3;3;2;3;3;3;22;22;47
"30289";190;170;1;1;0;0;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;1;24;24;49
"30290";191;170;1;1;0;0;0;0;0;3;3;1;1;1;3;1;2;1;2;2;2;3;3;3;2;3;3;1;18;21;40
"30291";192;170;1;1;1;1;0;0;0;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;3;3;24;24;51
"30292";193;170;1;0;1;1;0;0;0;3;3;3;2;3;3;1;1;1;3;3;3;3;3;3;2;3;3;2;23;23;48
"30293";194;170;1;1;1;1;0;0;0;3;3;3;2;3;1;1;1;1;2;2;2;3;3;3;3;3;3;3;20;22;45
"30294";195;170;1;1;1;1;0;0;0;3;3;3;2;3;1;1;1;1;2;2;2;3;3;3;3;3;3;3;20;22;45
